index,tpeak,tpeaks_norm,ampls,unnorm_ampls,fwhms,fixed_tpeaks,fixed_fwhms,left_bases,right_bases
33,2928.4653954497335,6.620046561063646,1.483393669128418,0.0021878175903111696,0.004166666666666667,2928.4653954497335,3733.7288206345124,2928.42453183428,2928.5471223762215
35,2930.426842756642,8.581493867972313,1.5751174688339233,0.0023230984807014465,0.002777777777777778,2930.467706105046,2565.876612899709,2930.345115756354,2930.5085696518145
36,2930.467706105046,8.622357216376258,2.514833688735962,0.0037090606056153774,0.005555555555555556,2930.467706105046,3643.4667836345966,2930.3859792073126,2930.549433097418
38,2930.7946137428808,8.949264854210924,3.764893054962158,0.0055527398362755775,0.002777777777777778,2930.7946137428808,1813.7340562035367,2930.7128867663414,2930.8763406143044
39,2932.449581988629,10.604233099958947,1.5351709127426147,0.0022641823161393404,0.005555555555555556,2932.449581988629,1110.1929236687524,2932.3678553152276,2932.470013781276
40,2932.592603930665,10.747255041995231,1.7480717897415161,0.0025781842414289713,0.004166666666666667,2932.592603930665,3586.521748576184,2932.5517405486244,2932.674330690563
41,2932.8786476695823,11.033298780912446,1.5937925577163696,0.002350641880184412,0.002777777777777778,2932.8786476695823,1670.3298999017488,2932.8377841961483,2932.9195109416105
42,2934.472318404529,12.626969515858946,3.2400834560394287,0.004778712056577206,0.006944444444444445,2934.472318404529,3243.051724580542,2934.3905917482407,2934.5540451561537
44,2934.840088401812,12.994739513142122,1.594618797302246,0.0023518605157732964,0.002777777777777778,2934.840088401812,2952.448180180289,2934.7583617657874,2934.860520060007
45,2936.2703040226625,14.424955133992626,3.1979079246520996,0.0047165085561573505,0.005555555555555556,2936.2907355619973,3806.030244142298,2936.22944074306,2936.3520304785925
46,2936.6585051264483,14.813156237778458,1.5807901620864868,0.0023314650170505047,0.004166666666666667,2936.6789366608937,3241.3719667268974,2936.617641756864,2936.740231562828
47,2936.903684723009,15.058335834339232,1.5423771142959595,0.0022748105693608522,0.002777777777777778,2936.903684723009,2811.1503740880776,2936.821958195018,2936.9649796165613
1,2938.6403727117213,-7.130611992513877,2.9671711921691895,0.006117247510701418,0.002777777777777778,2938.681235933109,3795.252729885406,2938.599509489395,2938.722099253333
2,2938.681235933109,-7.089748771126324,3.7675251960754395,0.0077672917395830154,0.004166666666666667,2938.681235933109,4291.10835777891,2938.599509489395,2938.762962472865
4,2941.9502912107564,-3.820693493478757,3.5393197536468506,0.007296813651919365,0.011111111111111112,2941.9707228872285,3535.3973324317903,2941.868565002551,2942.0320176159366
5,2943.462227682372,-2.30875702186313,4.017232894897461,0.008282099850475788,0.009722222222222222,2943.482659245805,4505.80786151023,2943.380501427717,2943.543953934466
6,2944.5246688521147,-1.2463158521204605,1.6662814617156982,0.0034352773800492287,0.002777777777777778,2944.5246688521147,3396.80275215274,2944.4429427314535,2944.6063950702082
